数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,来源CSV_SHA256,数据一致性提示,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
81组实验数据3,67,A3-B2-C2-D1,force_fp16,4,high_performance,standard_l2,是,,81,1,0.9026833496767266,0.0,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,829.9200453,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8997283585101984,4.81974139877,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9099214395065193,4.84882526,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9101992667071116,4.910006757,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9135812863000898
81组实验数据3,68,A3-B2-C2-D2,force_fp16,4,high_performance,l2_with_tiling,是,,81,2,0.9017900533638844,0.0008932963128421845,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,829.3744641,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8985652999720937,4.8229119332,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9098375968351089,4.856147287,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9100073437125995,4.907588302,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9136426312550957
81组实验数据3,72,A3-B2-C3-D3,force_fp16,4,high_performance_for_all,l2_single_stream,是,,81,3,0.900855228926623,0.0018281207501036345,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,828.923768,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8976045154963908,4.82553421004,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.909768252470524,4.849801907,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9101736670996776,5.017995363,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.910842117625783
81组实验数据3,64,A3-B2-C1-D1,force_fp16,4,high_precision,standard_l2,是,,81,4,0.8991951436484762,0.0034882060282503957,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,829.3284201,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.898467144340396,4.82317969945,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9098305159349612,4.950273124,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9075401426905338,5.955650604,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.8870581652387441
81组实验数据3,69,A3-B2-C2-D3,force_fp16,4,high_performance,l2_single_stream,是,,81,5,0.8962200346263026,0.006463315050423968,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,825.9313897,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8912254263139665,4.84301728919,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9093059240862161,4.835540808,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9105474751756534,4.911847767,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9135345884390109
81组实验数据3,70,A3-B2-C3-D1,force_fp16,4,high_performance_for_all,standard_l2,是,,81,6,0.8946253118885672,0.008058037788159389,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,825.0018083,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8892437642183275,4.84847422122,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9091616191530255,4.880975141,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9093565627079696,4.899041042,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9138594354876011
81组实验数据3,71,A3-B2-C3-D2,force_fp16,4,high_performance_for_all,l2_with_tiling,是,,81,7,0.89261602583443,0.010067323842296583,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,824.0362762,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8871854631758446,4.85415523021,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.909011388653864,4.987975747,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9065518917175288,5.007299557,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.9111134204773234
81组实验数据3,65,A3-B2-C1-D2,force_fp16,4,high_precision,l2_with_tiling,是,,81,8,0.8329516409820807,0.06973170869464584,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,792.5974693,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8201648752361071,5.04669792036,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9039197254471957,5.020943684,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9056877450554195,8.588516726,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.8202745973035699
81组实验数据3,66,A3-B2-C1-D3,force_fp16,4,high_precision,l2_single_stream,是,,81,9,0.8218025661947728,0.08088078348195382,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,785.0066917,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,0.8039830150500648,5.09549796491,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.9026292407701328,5.109361698,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.9033701559485112,7.837705941,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.8393191748639435
81组实验数据3,79,A3-B3-C3-D1,force_fp16,16,high_performance_for_all,standard_l2,是,,81,10,0.7975856632824209,0.10509768639430572,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按作者确认的新1000次汇总数据回溯评分；平均延迟由FPS换算；未计算预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3_实验数据.csv,cb1752ec0c1b3238c318169911593f77c3046c3a2745221c85183192460cb378,FPS与平均批延迟已按公式统一；新1000次逐次记录待补，旧50条序列未用于评分,876.9566481,0.4881852170033022,416.655819,868.2894666,407.864868,876.9566481,1.0,18.2449155664,0.17169904076646858,1.41339505215,38.400999747,1.41339505215,39.2286790438,0.5549016498734594,18.47245734,0.17182471980623013,1.4361862,38.99488324,1.422850194,39.57370866,0.5531003014992549,18.65556664,0.16829102242399901,1.503047371,39.13301483,1.503047371,40.92690871,0.5649203632919667
