数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
81组实验数据论文,67,A3-B2-C2-D1,force_fp16,4,high_performance,standard_l2,是,',81,1,0.9031336858363171,0.0,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,829.977458,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9002894357452397,4.819408,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9098450703053953,4.84575,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9103313431427538,4.90213,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.9137146211050866
81组实验数据论文,69,A3-B2-C2-D3,force_fp16,4,high_performance,l2_single_stream,是,',81,2,0.9011599205167549,0.0019737653195622817,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,828.780737,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8977333448342236,4.826367,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.909660746861959,4.8532,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9101360808097751,4.91291,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.913440837138922
81组实验数据论文,68,A3-B2-C2-D2,force_fp16,4,high_performance,l2_with_tiling,是,',81,3,0.9011263674108991,0.0020073184254180143,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,828.756182,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8976808975116478,4.82651,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9096569592125249,4.85495,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9100902138188071,4.90781,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.9135703638761613
81组实验数据论文,72,A3-B2-C3-D3,force_fp16,4,high_performance_for_all,l2_single_stream,是,',81,4,0.9009678990645246,0.002165786771792577,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,828.791212,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8977557185138805,4.826306,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9096623625725566,4.8563,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9100548307114887,5.01387,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.9108767156895736
81组实验数据论文,64,A3-B2-C1-D1,force_fp16,4,high_precision,standard_l2,是,',81,5,0.8996021070827274,0.0035315787535897813,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,829.38735,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8990290169046595,4.822837,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9097542461801555,4.946,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9077038198030078,5.95602,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.8869485557895784
81组实验数据论文,70,A3-B2-C3-D1,force_fp16,4,high_performance_for_all,standard_l2,是,',81,6,0.8973781664595761,0.005755519376741014,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,826.481116,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8928215564249934,4.839796,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9093050521469271,4.8697,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9097036206092185,4.91487,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.913391058235983
81组实验数据论文,71,A3-B2-C3-D2,force_fp16,4,high_performance_for_all,l2_with_tiling,是,',81,7,0.8913958778813345,0.011737807954982693,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,823.079817,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8855566806021835,4.859796,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9087753109673429,4.97965,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.9068218630909635,5.00757,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.9110367193061634
81组实验数据论文,65,A3-B2-C1-D2,force_fp16,4,high_precision,l2_with_tiling,是,',81,8,0.8311990291128248,0.07193465672349231,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,791.391559,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8178733456730389,5.054388,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9036211411864603,5.02515,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.905629321325792,8.58371,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.8202120632060002
81组实验数据论文,66,A3-B2-C1-D3,force_fp16,4,high_precision,l2_single_stream,是,',81,9,0.8204692468851391,0.08266443895117803,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,784.059598,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.8022129211697285,5.101653,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.9023692303438079,5.10365,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.903571859159507,7.83979,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.8391056966113012
81组实验数据论文,75,A3-B3-C1-D3,force_fp16,16,high_precision,l2_single_stream,是,',81,10,0.7968679590327028,0.10626572680361435,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,876.660354,0.487416194221116,416.29299,868.778925,408.476302,876.660354,1.0,18.251082,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5540795288778604,18.52125,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5519004660086283,18.63742,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5648739742942761
81组实验数据论文,81,A3-B3-C3-D3,force_fp16,16,high_performance_for_all,l2_single_stream,是,',81,11,0.7964153831553138,0.10671830268100335,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,875.160202,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9967958071327044,18.282367,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5532508812376957,18.5395,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5514221388171034,18.57483,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.566463597526395
81组实验数据论文,77,A3-B3-C2-D2,force_fp16,16,high_performance,l2_with_tiling,是,',81,12,0.7962325346964825,0.10690115113983467,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,874.972643,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9963951975878067,18.286286,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5531470784535563,18.52475,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.551808732026692,18.62447,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.565202870617266
81组实验数据论文,79,A3-B3-C3-D1,force_fp16,16,high_performance_for_all,standard_l2,是,',81,13,0.7960678291928486,0.10706585664346857,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,874.479794,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9953425154259633,18.296592,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5528741028237165,18.52795,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5517248609574932,18.60989,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5655731647013735
81组实验数据论文,73,A3-B3-C1-D1,force_fp16,16,high_precision,standard_l2,是,',81,14,0.7957710815221578,0.10736260431415934,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,873.863772,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9940267465582105,18.30949,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5525324727370027,18.5411,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.551380203282504,18.60863,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5656051654246914
81组实验数据论文,80,A3-B3-C3-D2,force_fp16,16,high_performance_for_all,l2_with_tiling,是,',81,15,0.7946369786011052,0.10849670723521199,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,872.545006,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9912099782501774,18.337163,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.551799496353871,18.60415,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5497276811221949,18.71781,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5628322773517929
81组实验数据论文,74,A3-B3-C1-D2,force_fp16,16,high_precision,l2_with_tiling,是,',81,16,0.7939630021166882,0.1091706837196289,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,873.1971,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9926027937406121,18.323469,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5521622101395323,18.5943,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5499858467570727,19.02299,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5550814989849929
81组实验数据论文,76,A3-B3-C2-D1,force_fp16,16,high_performance,standard_l2,是,',81,17,0.7923941082542085,0.11073957758210862,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json,868.778925,0.487416194221116,416.29299,868.778925,408.476302,876.660354,0.9831659601254422,18.416653,0.1718906992943509,1.417735,38.434469,1.415673,39.169959,0.5496940400356135,18.71375,0.1718842411463921,1.4383,39.02875,1.42455,39.57835,0.5468550970021335,18.76283,0.1688088653381409,1.50472,39.12853,1.50472,40.87883,0.5616888864281631
