数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
caffe,69,A3-B2-C2-D3,force_fp16,10,high_performance,l2_single_stream,是,',27,1,0.9993959585183059,0.0,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1127.297093,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9980200923377668,8.870776,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9989854322174746,9.05795,0.18548395336296122,9.11625,17.582,9.05795,17.65125,1.0,9.10402,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,1.0
caffe,65,A3-B2-C1-D2,force_fp16,10,high_precision,l2_with_tiling,是,',27,2,0.9967513254097001,0.002644633108605743,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1126.408236,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9964061137770875,8.877776,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9981569237623089,9.10445,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9945888075593776,9.14868,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.9970691461016886
caffe,66,A3-B2-C1-D3,force_fp16,10,high_precision,l2_single_stream,是,',27,3,0.994439989663394,0.004955968854911896,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1120.156123,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9850535831214872,8.927327,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9922921491248938,9.11625,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9932156447464885,9.14489,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.9973178683648907
caffe,72,A3-B2-C3-D3,force_fp16,10,high_performance_for_all,l2_single_stream,是,',27,4,0.9921526267573885,0.007243331760917404,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1120.512209,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9857001608834423,8.92449,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9926279317659373,9.1636,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9877055380354461,9.19602,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.9939624147191078
caffe,64,A3-B2-C1-D1,force_fp16,10,high_precision,standard_l2,是,',27,5,0.9919911825796008,0.007404775938705033,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1119.616088,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9840729924167771,8.931633,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9917824980666164,9.15575,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9886190404152073,9.19644,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.993934851829782
caffe,71,A3-B2-C3-D2,force_fp16,10,high_performance_for_all,l2_with_tiling,是,',27,6,0.9828404200317157,0.016555538486590193,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1128.387476,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,1.0,8.862204,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,1.0,9.08945,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9963343535079656,9.41018,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.9799079662000225
caffe,70,A3-B2-C3-D1,force_fp16,10,high_performance_for_all,standard_l2,是,',27,7,0.9520521594360132,0.04734379908229269,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1120.307341,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9853281634082923,8.926122,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9924347709375332,9.2119,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9820848800809934,9.95311,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.9442776816722536
caffe,67,A3-B2-C2-D1,force_fp16,10,high_performance,standard_l2,是,',27,8,0.76422714963414,0.23516880888416591,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1105.63808,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.9586918509811972,9.044551,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9784177098179909,9.089,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9963867198864231,13.47305,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.7132783563067828
caffe,68,A3-B2-C2-D2,force_fp16,10,high_performance,l2_with_tiling,是,',27,9,0.7029408351271189,0.29645512339118696,0.999979,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,1093.947799,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.937464743693616,9.141204,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.9669780201441178,9.11595,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.9932505556654603,14.6773,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.6342483337577143
caffe,42,A2-B2-C2-D3,allow_fp32_to_fp16,10,high_performance,l2_single_stream,是,',27,10,0.3692477692953592,0.6301481892229467,0.999999,0.999,"14,43,66",3,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json,591.645259,0.14826447336523202,581.078188,1120.156123,577.663308,1128.387476,0.02538830109958054,16.90202,0.17870356352159603,8.927327,17.209388,8.862204,17.311122,0.0484206380035882,17.21615,0.18548395336296122,9.11625,17.582,9.05795,17.65125,0.05063246948203859,17.28428,0.4875480097502107,9.14489,18.55114,9.10402,24.3419,0.46316285467532237
