数据组,实验序号,配置ID,A水平,B水平,C水平,D水平,精度模式,Batch,算子实现,图优化策略,Buffer优化,Tiling优化,单流,输入形状,编译成功,记录检查,FPS,平均批延迟_ms,P95批延迟_ms,P99批延迟_ms,平均余弦,最小余弦,实际测量Batch,验证样本数,随机种子,验证错误,其他错误,ATC命令,数据来源
caffe,1,A1-B1-C1-D1,1,1,1,1,force_fp32,1,high_precision,standard_l2,l2_optimize,0,否,"data_input:1,3,227,227",是,数值验证缺失或失败,879.428582,1.137102,1.1701,1.24366,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp1 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,2,A1-B1-C1-D2,1,1,1,2,force_fp32,1,high_precision,l2_with_tiling,l2_optimize,1,否,"data_input:1,3,227,227",是,数值验证缺失或失败,906.434233,1.103224,1.1262,1.20943,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp2 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,3,A1-B1-C1-D3,1,1,1,3,force_fp32,1,high_precision,l2_single_stream,l2_optimize,0,是,"data_input:1,3,227,227",是,数值验证缺失或失败,880.503366,1.135714,1.1731,1.23956,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp3 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,4,A1-B1-C2-D1,1,1,2,1,force_fp32,1,high_performance,standard_l2,l2_optimize,0,否,"data_input:1,3,227,227",是,数值验证缺失或失败,876.565546,1.140816,1.1759,1.2366,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp4 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,5,A1-B1-C2-D2,1,1,2,2,force_fp32,1,high_performance,l2_with_tiling,l2_optimize,1,否,"data_input:1,3,227,227",是,数值验证缺失或失败,857.197718,1.166592,1.2097,1.28105,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp5 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,6,A1-B1-C2-D3,1,1,2,3,force_fp32,1,high_performance,l2_single_stream,l2_optimize,0,是,"data_input:1,3,227,227",是,数值验证缺失或失败,880.424294,1.135816,1.1612,1.23984,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp6 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,7,A1-B1-C3-D1,1,1,3,1,force_fp32,1,high_performance_for_all,standard_l2,l2_optimize,0,否,"data_input:1,3,227,227",是,数值验证缺失或失败,858.414046,1.164939,1.1871,1.27007,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp7 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,8,A1-B1-C3-D2,1,1,3,2,force_fp32,1,high_performance_for_all,l2_with_tiling,l2_optimize,1,否,"data_input:1,3,227,227",是,数值验证缺失或失败,875.07821,1.142755,1.1885,1.24135,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp8 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,9,A1-B1-C3-D3,1,1,3,3,force_fp32,1,high_performance_for_all,l2_single_stream,l2_optimize,0,是,"data_input:1,3,227,227",是,数值验证缺失或失败,856.793041,1.167143,1.2196,1.27529,,,1,,,"InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Got invalid dimensions for input: data_input for the following indices
 index: 0 Got: 1 Expected: 10
 Please fix either the inputs or the model.",,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:1,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp9 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
caffe,10,A1-B2-C1-D1,1,2,1,1,force_fp32,10,high_precision,standard_l2,l2_optimize,0,否,"data_input:10,3,227,227",是,记录满足检查,582.018955,17.181571,17.45855,17.50559,1,0.999999,10,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/squeezenet_v1.1.onnx --input_shape=""data_input:10,3,227,227"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp10 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\caffe\results.json
